bench id,algorithm,time,number of inter solutions,alg weights,alg total weight,alg profit
1,DPWeights,0.00207,1123,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,309
1,TwoApproxAlgorithm,4e-05,6,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,309
2,DPWeights,0.000171,88,"[0, 1, 1, 1, 0]",26,51
2,TwoApproxAlgorithm,2.3e-05,4,"[0, 1, 0, 1, 1]",24,44
3,DPWeights,0.001331,795,"[1, 1, 0, 0, 1, 0]",190,150
3,TwoApproxAlgorithm,2e-05,4,"[1, 1, 0, 0, 0, 1]",132,105
4,DPWeights,0.000427,264,"[1, 0, 0, 1, 0, 0, 0]",50,107
4,TwoApproxAlgorithm,2.1e-05,6,"[0, 1, 0, 1, 1, 1, 1]",42,79
5,DPWeights,0.000988,698,"[1, 0, 1, 1, 1, 0, 1, 1]",104,900
5,TwoApproxAlgorithm,3e-05,8,"[1, 1, 0, 1, 1, 1, 1, 1]",97,858
6,DPWeights,0.001387,826,"[0, 1, 0, 1, 0, 0, 1]",169,1735
6,TwoApproxAlgorithm,2.4e-05,4,"[1, 1, 1, 0, 0, 0, 0]",140,1478
7,DPWeights,0.01365,9832,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",749,1458
7,TwoApproxAlgorithm,4.3e-05,9,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",653,1249
